analysis_mode,analysis_scale,protocol,omitted_domain,n_domains_total,n_domains_retained,full_omitted_domain_spearman,chemistry_omitted_domain_spearman,omitted_domain_delta_spearman,full_all_domain_macro_spearman,full_lodo_domain_macro_spearman,full_lodo_influence_spearman,chemistry_all_domain_macro_spearman,chemistry_lodo_domain_macro_spearman,chemistry_lodo_influence_spearman,delta_all_domain_macro_spearman,delta_lodo_domain_macro_spearman,delta_lodo_influence_spearman,full_omitted_domain_rmse,chemistry_omitted_domain_rmse,omitted_domain_delta_rmse,full_all_domain_macro_rmse,full_lodo_domain_macro_rmse,full_lodo_influence_rmse,chemistry_all_domain_macro_rmse,chemistry_lodo_domain_macro_rmse,chemistry_lodo_influence_rmse,delta_all_domain_macro_rmse,delta_lodo_domain_macro_rmse,delta_lodo_influence_rmse,delta_spearman_definition,delta_rmse_definition,inference
post_hoc_exploratory,canonical_smiles_median_within_domain,source_ood,MGDB,4,3,-0.0242588029318553,-0.0350568140114373,0.0107980110795819,0.1560676578902174,0.2161764781642416,0.0601088202740242,0.2430627043956579,0.3357692105313563,0.0927065061356984,-0.0869950465054404,-0.1195927323671146,-0.0325976858616741,0.7580668101306473,0.7571756951426823,-0.000891114987965,0.9668518339645608,1.0364468419091988,0.0695950079446379,0.965965793464258,1.0355624929047833,0.0695966994405252,-0.0008860405003028,-0.0008843490044154,1.691495887357064e-06,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
post_hoc_exploratory,canonical_smiles_median_within_domain,source_ood,MGTbind,4,3,0.1408145562147633,0.1059361311474989,0.0348784250672644,0.1560676578902174,0.1611520251153687,0.0050843672251513,0.2430627043956579,0.2887715621450442,0.0457088577493863,-0.0869950465054404,-0.1276195370296754,-0.0406244905242349,1.017884903613382,1.0582758106575807,0.0403909070441987,0.9668518339645608,0.9498408107482872,-0.0170110232162736,0.965965793464258,0.9351957877331506,-0.0307700057311074,-0.0008860405003028,-0.0146450230151365,-0.0137589825148337,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
post_hoc_exploratory,canonical_smiles_median_within_domain,source_ood,MolGlueDB,4,3,0.3617366938385538,0.317217639477161,0.0445190543613928,0.1560676578902174,0.0875113125741052,-0.0685563453161121,0.2430627043956579,0.2183443927018235,-0.0247183116938343,-0.0869950465054404,-0.1308330801277182,-0.0438380336222777,1.0184708193222958,1.051180767829902,0.0327099485076063,0.9668518339645608,0.9496455055119823,-0.0172063284525784,0.965965793464258,0.9375608020090433,-0.0284049914552145,-0.0008860405003028,-0.0120847035029389,-0.0111986630026361,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
post_hoc_exploratory,canonical_smiles_median_within_domain,source_ood,TPDdb,4,3,0.1459781844394078,0.584153860969409,-0.4381756765300012,0.1560676578902174,0.1594308157071539,0.0033631578169365,0.2430627043956579,0.1293656522044075,-0.1136970521912503,-0.0869950465054404,0.0300651635027464,0.1170602100081869,1.0729848027919184,0.9972309002268674,-0.0757539025650509,0.9668518339645608,0.931474177688775,-0.0353776562757858,0.965965793464258,0.9555440912100548,-0.0104217022542031,-0.0008860405003028,0.0240699135212798,0.0249559540215826,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
post_hoc_exploratory,canonical_smiles_median_within_domain,target_ood,CCNK+CDK12,8,7,0.340820925628941,0.3023732963854676,0.0384476292434733,0.0166563985551361,-0.0296528195982644,-0.0463092181534006,0.097033279083885,0.0676989908979446,-0.0293342881859403,-0.0803768805287488,-0.0973518104962091,-0.0169749299674603,0.8258693486730304,0.8110901903355958,-0.0147791583374345,0.8607265237477282,0.8657061201869709,0.0049795964392426,0.854789813329132,0.861032616613923,0.0062428032847909,-0.0059367104185962,-0.0046735035730478,0.0012632068455483,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
post_hoc_exploratory,canonical_smiles_median_within_domain,target_ood,CDK2,8,7,-0.2259266075116436,-0.0364767904050361,-0.1894498171066074,0.0166563985551361,0.0513111137075333,0.0346547151523971,0.097033279083885,0.1161061461537309,0.0190728670698458,-0.0803768805287488,-0.0647950324461975,0.0155818480825512,0.5490750078443021,0.526080352033203,-0.0229946558110991,0.8607265237477282,0.9052481688767892,0.0445216451290608,0.854789813329132,0.9017483077999792,0.0469584944708471,-0.0059367104185962,-0.0034998610768099,0.0024368493417862,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
post_hoc_exploratory,canonical_smiles_median_within_domain,target_ood,CSNK1A1,8,7,0.0648417476267106,0.0910409077576381,-0.0261991601309275,0.0166563985551361,0.0097727772591969,-0.0068836212959392,0.097033279083885,0.0978893321304916,0.0008560530466066,-0.0803768805287488,-0.0881165548712946,-0.0077396743425458,1.0983403489279568,1.0827563494180732,-0.0155839995098836,0.8607265237477282,0.8267816915791241,-0.0339448321686041,0.854789813329132,0.8222231653164263,-0.0325666480127057,-0.0059367104185962,-0.0045585262626978,0.0013781841558984,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
post_hoc_exploratory,canonical_smiles_median_within_domain,target_ood,GSPT1,8,7,-0.2735644414420074,0.0667841467626609,-0.3403485882046684,0.0166563985551361,0.0581165185547281,0.0414601199995919,0.097033279083885,0.1013545837012027,0.0043213046173177,-0.0803768805287488,-0.0432380651464745,0.0371388153822742,1.0516513721072134,1.0066010102110952,-0.0450503618961182,0.8607265237477282,0.833451545410659,-0.0272749783370692,0.854789813329132,0.8331024994888516,-0.0216873138402804,-0.0059367104185962,-0.0003490459218074,0.0055876644967888,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
post_hoc_exploratory,canonical_smiles_median_within_domain,target_ood,IKZF1,8,7,0.1276920947169056,0.1591774360257748,-0.0314853413088692,0.0166563985551361,0.0007941562463119,-0.0158622423088242,0.097033279083885,0.0881555423779007,-0.0088777367059842,-0.0803768805287488,-0.0873613861315887,-0.0069845056028399,0.9199614975037088,0.9356438710796308,0.015682373575922,0.8607265237477282,0.8522643846397312,-0.008462139107997,0.854789813329132,0.8432392336504894,-0.0115505796786425,-0.0059367104185962,-0.0090251509892417,-0.0030884405706455,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
post_hoc_exploratory,canonical_smiles_median_within_domain,target_ood,IKZF2,8,7,-0.1738750358874018,-0.0512052801764935,-0.1226697557109083,0.0166563985551361,0.0438751749040702,0.027218776348934,0.097033279083885,0.1182102161210819,0.0211769370371969,-0.0803768805287488,-0.0743350412170117,0.006041839311737,0.9454083307827728,0.9268719734392667,-0.0185363573435062,0.8607265237477282,0.848629122742722,-0.0120974010050063,0.854789813329132,0.8444923618848271,-0.0102974514443049,-0.0059367104185962,-0.0041367608578948,0.0017999495607013,full_context_extra_trees minus chemistry_extra_trees,chemistry_extra_trees minus full_context_extra_trees; positive favors full,descriptive fixed-domain influence; no confidence interval and no p-value
