analysis_identity,weight_mode,fit_stage,n_fit_rows,clipping_fraction,effective_sample_size,effective_sample_fraction
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.0216346153846153,235.0724323512674,0.1883593207942847
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,791.34831280729,0.8454575991530876
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0341880341880341,173.34360827834735,0.185196162690542
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,787.9051987767584,0.8417790585221778
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.032051282051282,169.6962033724363,0.1812993625773891
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,789.8496222625996,0.8438564340412389
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0427350427350427,159.9468185237572,0.1708833531236722
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,778.4489485831787,0.8316762271187806
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0309829059829059,176.03528404566657,0.1880718846641736
post_hoc_extension_float32_v4,compound_equal,outer_final,1248,0.0,1049.168391168531,0.8406798006158098
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.0288461538461538,218.21908772151087,0.1748550382383901
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,770.6964287878241,0.823393620499812
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0256410256410256,178.88469386302714,0.1911161259220375
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,781.4299337300674,0.834861040309901
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0288461538461538,177.2923699630911,0.1894149251742426
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,783.7995284692597,0.837392658621004
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0267094017094017,172.48443454756583,0.1842782420379976
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,779.7211479086094,0.833035414432275
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0416666666666666,156.57578917822514,0.1672818260451123
post_hoc_extension_float32_v4,compound_equal,outer_final,1248,0.0,1038.5258553689878,0.8321521276995094
post_hoc_extension_float32_v4,domain_balanced_clipped,outer_final,1248,0.0248397435897435,217.3780358675413,0.1741811184836068
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,796.8670956290212,0.8513537346463901
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.032051282051282,171.2159696335977,0.1829230444803394
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,792.6813397129187,0.8468817731975626
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0427350427350427,158.9279389142413,0.169794806532309
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,791.4764807505378,0.8455945307163866
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0363247863247863,163.46759325823254,0.1746448645921287
post_hoc_extension_float32_v4,compound_equal,inner,936,0.0,792.4744329821631,0.8466607189980375
post_hoc_extension_float32_v4,domain_balanced_clipped,inner,936,0.0288461538461538,179.67697860025538,0.1919625839746318
post_hoc_extension_float32_v4,compound_equal,outer_final,1248,0.0,1057.7999067554483,0.8475960791309683
