record_type,protocol,model_id,cluster_unit,n_clusters,n_bootstrap,spearman_observed,spearman_bootstrap_mean,spearman_ci_low,spearman_ci_high,rmse_observed,rmse_bootstrap_mean,rmse_ci_low,rmse_ci_high,reference_model,delta_direction,delta_spearman_observed,delta_spearman_mean,delta_spearman_ci_low,delta_spearman_ci_high,delta_rmse_observed,delta_rmse_mean,delta_rmse_ci_low,delta_rmse_ci_high,contrast_id,first_model,comparator_model
model,scaffold,chemistry_extra_trees,scaffold_id,667,10000,0.5660722533638645,0.5638737439887879,0.4751443397625373,0.6472039999003765,0.8319358549666609,0.8308665018110069,0.7589640787906633,0.9028353909033392,full_context_extra_trees,delta_spearman=reference-model; delta_rmse=model-reference; positive favors reference,0.0548820600507361,0.054798190256985,0.0228543003399272,0.0946186127115349,0.0402348037358574,0.0401834332220278,0.0248506330264092,0.0570591630537783,,,
model,scaffold,full_context_extra_trees,scaffold_id,667,10000,0.6209543134146006,0.6186719342457727,0.541467185153708,0.6893778538989788,0.7917010512308035,0.790683068588979,0.721200804840558,0.859053942819152,full_context_extra_trees,delta_spearman=reference-model; delta_rmse=model-reference; positive favors reference,,,,,,,,,,,
model,compound,chemistry_extra_trees,scaffold_id,667,10000,0.6772132083808362,0.6738046485169692,0.6094229661194949,0.7327144818964298,0.7437508528419545,0.7434687176072726,0.6926234887370324,0.7948211196707199,full_context_extra_trees,delta_spearman=reference-model; delta_rmse=model-reference; positive favors reference,0.0461038568744208,0.046493001732728,0.0185358211493634,0.0880357325313582,0.0411474849461195,0.0411317255309551,0.0214604960588873,0.0656755258408958,,,
model,compound,full_context_extra_trees,scaffold_id,667,10000,0.7233170652552571,0.7202976502496972,0.6641324754106975,0.7698536972233461,0.702603367895835,0.7023369920763174,0.6501105127412274,0.7555941535173609,full_context_extra_trees,delta_spearman=reference-model; delta_rmse=model-reference; positive favors reference,,,,,,,,,,,
