record_type,protocol,model_id,cluster_unit,n_clusters,n_bootstrap,spearman_observed,spearman_bootstrap_mean,spearman_ci_low,spearman_ci_high,rmse_observed,rmse_bootstrap_mean,rmse_ci_low,rmse_ci_high,reference_model,delta_direction,delta_spearman_observed,delta_spearman_mean,delta_spearman_ci_low,delta_spearman_ci_high,delta_rmse_observed,delta_rmse_mean,delta_rmse_ci_low,delta_rmse_ci_high,contrast_id,first_model,comparator_model,evidence_identity,bootstrap_seed,full_spearman_observed,context_spearman_observed,full_rmse_observed,context_rmse_observed
contrast,scaffold,,scaffold_id,667,10000,,,,,,,,,,delta_spearman=first-comparator; delta_rmse=comparator-first; positive favors first,0.0662118206636975,0.0654249808732321,0.0172432047484563,0.1183317025925185,0.0484538754971753,0.048267769909504,0.0082023032949114,0.0869527922046786,chemistry_extra_trees_vs_morgan_knn,chemistry_extra_trees,morgan_knn,confirmatory,,,,,
contrast,scaffold,,scaffold_id,667,10000,,,,,,,,,,delta_spearman=first-comparator; delta_rmse=comparator-first; positive favors first,0.0548820600507361,0.054798190256985,0.0228543003399272,0.0946186127115349,0.0402348037358574,0.0401834332220278,0.0248506330264092,0.0570591630537783,full_vs_chemistry_extra_trees,full_context_extra_trees,chemistry_extra_trees,confirmatory,,,,,
contrast,compound,,scaffold_id,667,10000,,,,,,,,,,delta_spearman=first-comparator; delta_rmse=comparator-first; positive favors first,0.0467507266626122,0.0470770233040433,0.0197303058443431,0.0761754552416531,0.0372624938834106,0.037196346083575,0.0137135364868813,0.062022460098582,chemistry_extra_trees_vs_morgan_knn,chemistry_extra_trees,morgan_knn,confirmatory,,,,,
contrast,compound,,scaffold_id,667,10000,,,,,,,,,,delta_spearman=first-comparator; delta_rmse=comparator-first; positive favors first,0.0461038568744208,0.046493001732728,0.0185358211493634,0.0880357325313582,0.0411474849461195,0.0411317255309551,0.0214604960588873,0.0656755258408958,full_vs_chemistry_extra_trees,full_context_extra_trees,chemistry_extra_trees,confirmatory,,,,,
contrast,scaffold,,scaffold_id,667,10000,,,,,,,,,,delta_spearman=full-context; delta_rmse=context-full; positive favors full,0.1932321333585235,0.194694669232558,0.1256469342340554,0.2703573881805423,0.0826346792486668,0.0831383922452256,0.0506366155522941,0.1157782374488967,full_vs_context_extra_trees,full_context_extra_trees,context_extra_trees,formal_matched_extension,260531.0,0.6209543134146006,0.427722180056077,0.7917010512308035,0.8743357304794703
contrast,compound,,scaffold_id,667,10000,,,,,,,,,,delta_spearman=full-context; delta_rmse=context-full; positive favors full,0.2434189908119604,0.2450437241700019,0.1826468813532893,0.3119157198228764,0.1438706179747566,0.1435252362145088,0.1055099554153002,0.182340464905459,full_vs_context_extra_trees,full_context_extra_trees,context_extra_trees,formal_matched_extension,260532.0,0.7233170652552571,0.4798980744432966,0.702603367895835,0.8464739858705916
