protocol,model_id,n_domains,n_rows,n_unique_smiles,n_scaffolds,domain_macro_spearman,domain_macro_spearman_finite_domains,pooled_spearman,domain_macro_pearson,domain_macro_pearson_finite_domains,pooled_pearson,domain_macro_rmse,domain_macro_rmse_finite_domains,pooled_rmse,domain_macro_mae,domain_macro_mae_finite_domains,pooled_mae,domain_macro_r2,domain_macro_r2_finite_domains,pooled_r2,domain_macro_calibration_intercept,domain_macro_calibration_intercept_finite_domains,pooled_calibration_intercept,domain_macro_calibration_slope,domain_macro_calibration_slope_finite_domains,pooled_calibration_slope,target_macro_spearman,target_macro_n_groups,within_target_spearman,domain_macro_spearman_ci_low,domain_macro_spearman_ci_high,domain_macro_rmse_ci_low,domain_macro_rmse_ci_high
source_ood,chemistry_extra_trees,4,1520,1132,667,0.2371977038513962,4,0.155152518136542,0.2452474106882007,4,0.1789663923382957,0.9876196256866216,4,1.00982483189439,0.7804720798216472,4,0.8081697983177085,0.0014985820116253,4,-0.0372796038216527,1.7758156832289422,4,4.127051452325166,0.7649424271432634,4,0.4424844130366397,0.147502991779507,10.0,0.0607506189016099,0.1306803128102086,0.3006070231584007,0.9174835968339524,1.0525231436194893
source_ood,full_context_extra_trees,4,1520,1132,667,0.1507862686082981,4,0.1578432936460824,0.2045427164684156,4,0.1962915511919643,0.9891927114025668,4,0.9913089400140794,0.7865013996665482,4,0.7903936331209384,0.0037858070186097,4,0.0004102544237996,3.266848096772705,4,3.444133773172473,0.5647417166726993,4,0.534801967865857,0.0630679150712477,10.0,0.0126105185787127,0.032867610031626,0.244313242444629,0.9239017355283972,1.0482743242388772
target_ood,chemistry_extra_trees,8,1290,1032,601,0.1175179761203821,8,0.1823815205119482,0.1233806667146479,8,0.2112103548862406,0.8786250732025195,8,0.9363252423579072,0.716296077618842,8,0.736424856777339,-0.2216755455488117,8,0.03448694146605,4.010475379960514,8,2.3452811882431432,0.4686733851540624,8,0.6820858503336048,,,,0.0190121503958255,0.2172466001084502,0.8218272619768258,0.9237990548770104
target_ood,full_context_extra_trees,8,1290,1032,601,0.0516817057724172,8,0.1281932015927282,0.0711875702148329,8,0.1572428762927695,0.8862004940771482,8,0.9469712146547672,0.7231231378095722,8,0.7394321079402006,-0.2316708341117035,8,0.0124064513189194,5.653926517368146,8,2.995795480860035,0.2478500206131015,8,0.5936421509361216,,,,-0.0469258666105913,0.1542219076607978,0.8294057822129987,0.9288735447975242
