axis,validation_regime,model,n_domains,n_rows,n_compounds,n_scaffolds,domain_macro_spearman_observed,domain_macro_spearman_bootstrap_mean,domain_macro_spearman_ci_low,domain_macro_spearman_ci_high,domain_macro_spearman_n_valid,domain_macro_rmse_observed,domain_macro_rmse_bootstrap_mean,domain_macro_rmse_ci_low,domain_macro_rmse_ci_high,domain_macro_rmse_n_valid,pooled_spearman_observed,pooled_spearman_bootstrap_mean,pooled_spearman_ci_low,pooled_spearman_ci_high,pooled_spearman_n_valid,pooled_rmse_observed,pooled_rmse_bootstrap_mean,pooled_rmse_ci_low,pooled_rmse_ci_high,pooled_rmse_n_valid
source,internal,chemistry,4,1520,1132,667,0.5811122471990942,0.5692382518279755,0.482069551404309,0.644869837818893,10000,0.831196828797816,0.8276850848926486,0.7406670667397228,0.9129488507940429,10000,0.5716673633786509,0.5692311783273156,0.48068248669807917,0.6503543118771279,10000,0.8258944692683254,0.8249000586122487,0.7540807098453436,0.9011389064726142,10000
source,internal,full,4,1520,1132,667,0.617838150127926,0.6064252644174526,0.5238636451443525,0.6795292731483668,10000,0.7927276493112299,0.7895810932518452,0.7083617406427871,0.8689463272809064,10000,0.6158537665098136,0.613537332610114,0.5316250380543757,0.6874094199484002,10000,0.7909363244595511,0.7900395605234304,0.7207665268803588,0.863306224080939,10000
source,ood,chemistry,4,1520,1132,667,0.23719770385139624,0.2229574039852073,0.13104025134422054,0.3032423514640218,10000,0.9876196256866216,0.9844755463524875,0.9159504999035872,1.0503666430129406,10000,0.15515251813654204,0.154613082823948,0.05982377836700305,0.2483217568875103,10000,1.00982483189439,1.0087268457696406,0.9490983912129957,1.068477284975284,10000
source,ood,full,4,1520,1132,667,0.15078626860829816,0.14503037363945284,0.02988237426937055,0.24607339971290448,10000,0.9891927114025669,0.9864709616422204,0.9230897649888922,1.0475332928678533,10000,0.15784329364608246,0.15694736598702225,0.06385071320410012,0.24540236111637379,10000,0.9913089400140794,0.9902441227635805,0.9356910124385208,1.0448053194396594,10000
target,internal,chemistry,8,1290,1032,601,0.45178396276851435,0.4530927363413359,0.36845462993309214,0.5365489981555014,10000,0.7451380091320089,0.7370640079760749,0.6790785720193996,0.7889721011299659,10000,0.5574117418691052,0.5573944025613222,0.47513442377379417,0.6324520778850428,10000,0.8127577670535446,0.8104047850570417,0.7326543767112147,0.8924588993689553,10000
target,internal,full,8,1290,1032,601,0.4879525908329957,0.48236313760833616,0.4051329270484307,0.5570967385694036,10000,0.6886826694699741,0.6834781439266929,0.6320467163761373,0.7319886163544328,10000,0.6245017534032381,0.6233855835596279,0.5586038886656689,0.6814474542395609,10000,0.7645005063387603,0.7625016667270443,0.6902983553706165,0.8389278672250234,10000
target,ood,chemistry,8,1290,1032,601,0.1175179761203821,0.11944507820939645,0.020773793644879066,0.21745997356608104,10000,0.8786250732025195,0.8731250670901396,0.8199949282352015,0.9238662628438635,10000,0.18238152051194828,0.17998666047867698,0.05963819522920896,0.2949397874473202,10000,0.9363252423579073,0.9349616453726458,0.8705634132411657,1.0015654708364612,10000
target,ood,full,8,1290,1032,601,0.05168170577241729,0.052717474076301264,-0.045178360717677286,0.15501506530744352,10000,0.8862004940771482,0.8803299819423988,0.8273868716861388,0.9299667322606512,10000,0.12819320159272826,0.12615863741204542,-0.002945253495795909,0.24973147980454222,10000,0.9469712146547672,0.9454860707048555,0.877665947026449,1.0161509114443137,10000
