axis,contrast_type,validation_regime,n_domains,n_scaffolds,delta_domain_macro_spearman_observed,delta_domain_macro_spearman_bootstrap_mean,delta_domain_macro_spearman_ci_low,delta_domain_macro_spearman_ci_high,delta_domain_macro_spearman_n_valid,delta_domain_macro_rmse_observed,delta_domain_macro_rmse_bootstrap_mean,delta_domain_macro_rmse_ci_low,delta_domain_macro_rmse_ci_high,delta_domain_macro_rmse_n_valid,delta_pooled_spearman_observed,delta_pooled_spearman_bootstrap_mean,delta_pooled_spearman_ci_low,delta_pooled_spearman_ci_high,delta_pooled_spearman_n_valid,delta_pooled_rmse_observed,delta_pooled_rmse_bootstrap_mean,delta_pooled_rmse_ci_low,delta_pooled_rmse_ci_high,delta_pooled_rmse_n_valid
source,within_regime_full_minus_chemistry,internal,4,667,0.03672590292883182,0.03718701258947702,0.010153999185493123,0.06612909060799106,10000,0.038469179486586125,0.03810399164080321,0.01849447659386964,0.05911379492011699,10000,0.04418640313116273,0.0443061542827984,0.010315055819754698,0.08530334956485687,10000,0.03495814480877435,0.03486049808881854,0.015924891382430962,0.05459048126191117,10000
source,within_regime_full_minus_chemistry,ood,4,667,-0.08641143524309808,-0.07792703034575447,-0.15265852603260682,-0.009861822891150293,10000,-0.0015730857159452771,-0.0019954152897329724,-0.0321524992224552,0.025335969738569008,10000,0.0026907755095404162,0.0023342831630742225,-0.050142577001245,0.057258520700847276,10000,0.018515891880310664,0.018482723006060114,-0.007208365702182654,0.045035647563093466,10000
source,ood_minus_internal_context_increment,paired_regime_change,4,667,-0.1231373381719299,-0.1151140429352315,-0.1801612012404476,-0.05646826953833238,10000,-0.0400422652025314,-0.04009940693053618,-0.06533072389930031,-0.016457691805771696,10000,-0.041495627621622316,-0.04197187111972418,-0.09992131620982318,0.01782071745429066,10000,-0.016442252928463685,-0.016377775082758426,-0.04293404281780355,0.010953845767464688,10000
target,within_regime_full_minus_chemistry,internal,8,601,0.036168628064481345,0.02927040126700034,-0.01840857892012184,0.07357912845445802,10000,0.056455339662034754,0.053585864049381794,0.029804148673486845,0.07465799863861752,10000,0.06709001153413285,0.06599118099830582,0.022951719785151335,0.11708791899906268,10000,0.04825726071478431,0.047903118329997274,0.028755451384343413,0.06806635427946915,10000
target,within_regime_full_minus_chemistry,ood,8,601,-0.06583627034796481,-0.0667276041330952,-0.13118302351579045,-0.004853095677885134,10000,-0.007575420874628702,-0.007204914852259162,-0.017486627407136773,0.0027485544596845255,10000,-0.05418831891922002,-0.05382802306663154,-0.09459079353567097,-0.012477603525949024,10000,-0.010645972296859929,-0.010524425332209819,-0.01819433581183446,-0.0023465729625648415,10000
target,ood_minus_internal_context_increment,paired_regime_change,8,601,-0.10200489841244616,-0.09599800540009554,-0.16866477551211043,-0.023374362931679406,10000,-0.06403076053666346,-0.06079077890164095,-0.08536661631723629,-0.03424703149898057,10000,-0.12127833045335287,-0.11981920406493737,-0.19093967141480142,-0.051891045642591706,10000,-0.05890323301164424,-0.058427543662207086,-0.0824050494230566,-0.03505061681781778,10000
