protocol,heldout_group,model_id,param_id,n_train_rows,n_train_unique_smiles,n_train_scaffolds,n_test_rows,n_test_unique_smiles,n_test_scaffolds,spearman,pearson,rmse,mae,r2,calibration_intercept,calibration_slope,rdkit_kept,rdkit_total,rdkit_train_missing,rdkit_eval_missing,context_dim,chemistry_dim,full_dim,permutation_n_strata,permutation_n_singleton_strata,permutation_singleton_row_fraction,permutation_changed_label_fraction,permutation_label_pearson
source_ood,MGTbind,global_mean,global,528,468,280,755,664,394,,,1.0639669165343797,0.835258424282074,-0.0781993865966796,,,187,217,0,0,163,2235,2398,,,,,
source_ood,MGTbind,hierarchical_context_mean,smoothing_2,528,468,280,755,664,394,-0.0781415435628745,-0.0131184235215187,1.0732146963359463,0.8458485007286072,-0.0970238447189331,7.76369305314713,-0.0736695937469295,187,217,0,0,163,2235,2398,,,,,
source_ood,MGTbind,context_ridge,alpha_0.1,528,468,280,755,664,394,0.1080814217549512,0.0526683740317821,1.301419625563351,0.959773600101471,-0.6131603717803955,6.659233697232764,0.0726754758422127,187,217,0,0,163,2235,2398,,,,,
source_ood,MGTbind,context_extra_trees,leaf_1_maxfeat_sqrt,528,468,280,755,664,394,0.0758575041598273,0.0280713587999343,1.054771985096366,0.8352495431900024,-0.0596439838409423,5.882329058051917,0.179224374251753,187,217,0,0,163,2235,2398,,,,,
source_ood,MGTbind,morgan_knn,k_3_power_1,528,468,280,755,664,394,0.1424238663329796,0.1721772402524948,1.0748936423095667,0.8540107011795044,-0.1004588603973388,4.7750757691186605,0.3330428616208675,187,217,0,0,163,2235,2398,,,,,
source_ood,MGTbind,chemistry_extra_trees,leaf_5_maxfeat_0p3,528,468,280,755,664,394,0.0842988304229794,0.0763577744364738,1.0716492595910148,0.8963826894760132,-0.0938258171081543,5.749078970221479,0.206437493531245,187,217,0,0,163,2235,2398,,,,,
source_ood,MGTbind,full_context_extra_trees,leaf_5_maxfeat_0p3,528,468,280,755,664,394,0.1237568595345418,0.1217645704746246,1.0391471656207445,0.860268235206604,-0.0284826755523681,4.5349702237103084,0.373440195580355,187,217,0,0,163,2235,2398,,,,,
source_ood,MGTbind,full_context_label_shuffle,shuffle::leaf_5_maxfeat_0p3,528,468,280,755,664,394,-0.024296068204224,-0.0480877459049224,1.0571095101425,0.8751888275146484,-0.0643458366394043,8.876652094097096,-0.2298391560043324,187,217,0,0,163,2235,2398,44.0,18.0,0.034090909090909,0.8901515151515151,0.3532551792569828
source_ood,MGDB,global_mean,global,1119,797,471,357,340,205,,,0.7653282524659089,0.5751423835754395,-0.0518555641174316,,,194,217,0,0,249,2242,2491,,,,,
source_ood,MGDB,hierarchical_context_mean,smoothing_8,1119,797,471,357,340,205,-0.2855451026824183,-0.2710395753383636,0.8099052003439409,0.5892323851585388,-0.1779556274414062,16.261285196900932,-1.2015533242368814,194,217,0,0,249,2242,2491,,,,,
source_ood,MGDB,context_ridge,alpha_1,1119,797,471,357,340,205,-0.2530655942673199,-0.2423422187566757,0.865074263455297,0.6123234033584595,-0.3439013957977295,12.612966342372726,-0.6860183611602602,194,217,0,0,249,2242,2491,,,,,
source_ood,MGDB,context_extra_trees,leaf_1_maxfeat_sqrt,1119,797,471,357,340,205,-0.099395954140455,-0.2982959449291229,0.8133228976591206,0.5618895888328552,-0.1879183053970337,19.099579852739087,-1.5465954529760226,194,217,0,0,249,2242,2491,,,,,
source_ood,MGDB,morgan_knn,k_5_power_1,1119,797,471,357,340,205,-0.0112629336499882,-0.0009508654475212,0.8756914131850893,0.6539373397827148,-0.3770914077758789,7.425976697795813,-0.0015508780102135,194,217,0,0,249,2242,2491,,,,,
source_ood,MGDB,chemistry_extra_trees,leaf_1_maxfeat_sqrt,1119,797,471,357,340,205,-0.0215325558815411,0.0842484235763549,0.7767828062782914,0.5805209875106812,-0.0835770368576049,5.652721908988584,0.2410689756619785,194,217,0,0,249,2242,2491,,,,,
source_ood,MGDB,full_context_extra_trees,leaf_1_maxfeat_sqrt,1119,797,471,357,340,205,-0.0076010060719665,0.0607711300253868,0.7767610138848018,0.5759050846099854,-0.083516240119934,6.098499981560384,0.1792738236864205,194,217,0,0,249,2242,2491,,,,,
source_ood,MGDB,full_context_label_shuffle,shuffle::leaf_1_maxfeat_sqrt,1119,797,471,357,340,205,-0.091530670068998,-0.0365891084074974,0.8170516825732933,0.6164671182632446,-0.1988357305526733,8.165192199804812,-0.103535472801935,194,217,0,0,249,2242,2491,64.0,20.0,0.0178731009830205,0.9302949061662198,0.2985093018894799
source_ood,MolGlueDB,global_mean,global,1022,885,539,289,247,144,,,1.0868966237440325,0.8963454365730286,-0.0056428909301757,,,192,217,0,0,178,2240,2418,,,,,
source_ood,MolGlueDB,hierarchical_context_mean,smoothing_2,1022,885,539,289,247,144,-0.0801898090297031,-0.0361764952540397,1.123889374878743,0.9296619296073914,-0.0752623081207275,8.54272797454996,-0.1616690799346478,192,217,0,0,178,2240,2418,,,,,
source_ood,MolGlueDB,context_ridge,alpha_0.1,1022,885,539,289,247,144,0.0770800085054229,0.1113287359476089,1.470865795364425,1.1384494304656982,-0.8416767120361328,6.186121610863966,0.1462821271319084,192,217,0,0,178,2240,2418,,,,,
source_ood,MolGlueDB,context_extra_trees,leaf_1_maxfeat_sqrt,1022,885,539,289,247,144,0.1711129293804729,0.2189110070466995,1.068192268427452,0.8470928072929382,0.0286715030670166,2.857798829669816,0.612072759337355,192,217,0,0,178,2240,2418,,,,,
source_ood,MolGlueDB,morgan_knn,k_5_power_1,1022,885,539,289,247,144,0.4002350707121553,0.3925057351589203,1.056654952933992,0.835831344127655,0.0495404005050659,2.389794163134828,0.7044920011284097,192,217,0,0,178,2240,2418,,,,,
source_ood,MolGlueDB,chemistry_extra_trees,leaf_5_maxfeat_0p3,1022,885,539,289,247,144,0.3026402636730352,0.2936365604400635,1.0958535266267904,0.874411940574646,-0.0222858190536499,3.2511573684001664,0.5802441421714133,192,217,0,0,178,2240,2418,,,,,
source_ood,MolGlueDB,full_context_extra_trees,leaf_1_maxfeat_sqrt,1022,885,539,289,247,144,0.3467562563144961,0.3442338705062866,1.057975673064146,0.8401629328727722,0.0471629500389099,1.9628787723600427,0.7609342671204227,192,217,0,0,178,2240,2418,,,,,
source_ood,MolGlueDB,full_context_label_shuffle,shuffle::leaf_1_maxfeat_sqrt,1022,885,539,289,247,144,0.3188502139789209,0.3114024102687835,1.0305128641931245,0.815399169921875,0.0959881544113159,-0.1735873484775527,1.0281231991129502,192,217,0,0,178,2240,2418,44.0,18.0,0.0176125244618395,0.9344422700587084,0.2119311032562614
source_ood,TPDdb,global_mean,global,1360,1019,621,119,118,58,,,1.1300306693278377,0.8774504661560059,-0.0018712282180786,,,196,217,0,0,317,2244,2561,,,,,
source_ood,TPDdb,hierarchical_context_mean,smoothing_8,1360,1019,621,119,118,58,-0.673232478848164,-0.5203532576560974,1.2300377953932995,0.9822944402694702,-0.187048077583313,31.60035423118069,-3.332344439328228,196,217,0,0,317,2244,2561,,,,,
source_ood,TPDdb,context_ridge,alpha_0.1,1360,1019,621,119,118,58,0.736129623327213,0.6161221265792847,1.0795688635738436,0.7556264996528625,0.0856086611747741,-3.369600864139171,1.353989193509063,196,217,0,0,317,2244,2561,,,,,
source_ood,TPDdb,context_extra_trees,leaf_1_maxfeat_0p3,1360,1019,621,119,118,58,-0.4525330272575957,-0.1392289251089096,1.186845950654516,0.9144264459609984,-0.1051472425460815,13.76568816748891,-0.8651694266094939,196,217,0,0,317,2244,2561,,,,,
source_ood,TPDdb,morgan_knn,k_3_power_1,1360,1019,621,119,118,58,-0.0911186088638282,-0.0734699890017509,1.3465534950534228,1.0798133611679075,-0.4225863218307495,8.200411329782737,-0.1270801107212616,196,217,0,0,317,2244,2561,,,,,
source_ood,TPDdb,chemistry_extra_trees,leaf_5_maxfeat_sqrt,1360,1019,621,119,118,58,0.5833842771911114,0.5267469882965088,1.0061927613274173,0.7705727815628052,0.2056830525398254,-7.549695514694456,2.032019097208416,196,217,0,0,317,2244,2561,,,,,
source_ood,TPDdb,full_context_extra_trees,leaf_1_maxfeat_sqrt,1360,1019,621,119,118,58,0.1402329646561212,0.291401207447052,1.0828870563243245,0.8696694374084473,0.0799790024757385,0.471043409460085,0.9453185803035992,196,217,0,0,317,2244,2561,,,,,
