record_type,protocol,model_id,cluster_unit,n_clusters,n_domains,n_bootstrap,domain_macro_spearman_observed,domain_macro_spearman_bootstrap_mean,domain_macro_spearman_ci_low,domain_macro_spearman_ci_high,domain_macro_spearman_n_valid,domain_macro_rmse_observed,domain_macro_rmse_bootstrap_mean,domain_macro_rmse_ci_low,domain_macro_rmse_ci_high,domain_macro_rmse_n_valid,pooled_spearman_observed,pooled_spearman_bootstrap_mean,pooled_spearman_ci_low,pooled_spearman_ci_high,pooled_spearman_n_valid,pooled_rmse_observed,pooled_rmse_bootstrap_mean,pooled_rmse_ci_low,pooled_rmse_ci_high,pooled_rmse_n_valid,contrast_id,first_model,comparator_model,delta_direction,delta_domain_macro_spearman_observed,delta_domain_macro_spearman_bootstrap_mean,delta_domain_macro_spearman_ci_low,delta_domain_macro_spearman_ci_high,delta_domain_macro_spearman_n_valid,delta_domain_macro_rmse_observed,delta_domain_macro_rmse_bootstrap_mean,delta_domain_macro_rmse_ci_low,delta_domain_macro_rmse_ci_high,delta_domain_macro_rmse_n_valid,delta_pooled_spearman_observed,delta_pooled_spearman_bootstrap_mean,delta_pooled_spearman_ci_low,delta_pooled_spearman_ci_high,delta_pooled_spearman_n_valid,delta_pooled_rmse_observed,delta_pooled_rmse_bootstrap_mean,delta_pooled_rmse_ci_low,delta_pooled_rmse_ci_high,delta_pooled_rmse_n_valid
model,source_ood,global_mean,global scaffold_id,667,4,10000,,,,,0.0,1.0115556083686166,1.00827094964276,0.9312377334328332,1.08542972228455,10000.0,-0.063894678077835,-0.0625370609665432,-0.1236648201580169,0.0016875874939921,10000.0,1.0121472139540153,1.0107895235457711,0.9392687794212824,1.0852896155558671,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
model,source_ood,hierarchical_context_mean,global scaffold_id,667,4,10000,-0.27927723353079,-0.2700075396598738,-0.3533232187184049,-0.1799585767838229,10000.0,1.0592617526633954,1.056428234274604,0.9810602306479256,1.1321920688797291,10000.0,-0.1415382894353804,-0.1412554598201379,-0.2326325226121246,-0.0456825766638242,10000.0,1.0415272548893706,1.040276430190639,0.9671919329850596,1.1146875318477354,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
model,source_ood,context_ridge,global scaffold_id,667,4,10000,0.1670563648300668,0.1583267224050676,0.0587739557011516,0.2630640809993682,10000.0,1.1792321257943588,1.1726922887220643,1.0544235554368973,1.2820259615887533,10000.0,0.0796429788764939,0.0776931541359478,-0.023791074731879,0.1916893755524676,10000.0,1.232729947975323,1.2317851188741529,1.1374617962268625,1.3281093860079354,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
model,source_ood,context_extra_trees,global scaffold_id,667,4,10000,-0.0762396369644376,-0.0687807559273695,-0.1894871171553079,0.0614688894497095,10000.0,1.0307832551785343,1.0263634475906076,0.935257297880897,1.1142485831627826,10000.0,-0.014602558520281,-0.0174274977765917,-0.141388484670059,0.1238971466982243,10000.0,1.017448711237272,1.0165111124095627,0.9439228300783474,1.0915900874467337,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
model,source_ood,morgan_knn,global scaffold_id,667,4,10000,0.1100693486328296,0.1122630308433159,0.015162954934111,0.2099314167325768,10000.0,1.0884483841325072,1.0853063237771037,1.0074469851458665,1.163124864186445,10000.0,0.1395683627518744,0.1375759581007547,0.0321605450148053,0.2527408621071018,10000.0,1.052731489341272,1.0516862085283702,0.9826004459423407,1.1247624764151776,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
model,source_ood,chemistry_extra_trees,global scaffold_id,667,4,10000,0.2371977038513962,0.2217258467509975,0.1306803128102086,0.3006070231584007,10000.0,0.9876196256866216,0.9849855022688097,0.9174835968339524,1.0525231436194893,10000.0,0.155152518136542,0.1528107381445935,0.0596583655531392,0.2446595657471987,10000.0,1.00982483189439,1.009359324381757,0.9499081835954662,1.0688159214578246,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
model,source_ood,full_context_extra_trees,global scaffold_id,667,4,10000,0.1507862686082981,0.1439298383477026,0.032867610031626,0.244313242444629,10000.0,0.9891927114025668,0.9870636508755446,0.9239017355283972,1.0482743242388772,10000.0,0.1578432936460824,0.1550155752742626,0.0637435727285326,0.2421518174602495,10000.0,0.9913089400140794,0.9909317064522688,0.9358781195368494,1.045361506508525,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
model,source_ood,full_context_label_shuffle,global scaffold_id,667,4,10000,-0.0162153542436345,-0.01195989201766,-0.0987166188514954,0.0764932494191799,10000.0,1.026976260896811,1.0237607792281385,0.9477710279620118,1.098118678559723,10000.0,0.0281066866408023,0.0267284045304473,-0.0481723082098611,0.1039427479947629,10000.0,1.0134655854322687,1.012684699826105,0.9478087483412088,1.077782516243367,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
contrast,source_ood,,global scaffold_id,667,4,10000,,,,,,,,,,,,,,,,,,,,,full_vs_context_ridge,full_context_extra_trees,context_ridge,delta_spearman=first-comparator; delta_rmse=comparator-first; positive favors first,-0.0162700962217686,-0.014396884057365,-0.1642890064346899,0.1238067104867083,10000.0,0.1900394143917918,0.1856286378465197,0.0838394614808382,0.2788801236418077,10000.0,0.0782003147695885,0.0773224211383147,-0.0487713415488584,0.1988081339790629,10000.0,0.2414210079612438,0.2408534124218841,0.1646743995043977,0.3178824148544607,10000.0
contrast,source_ood,,global scaffold_id,667,4,10000,,,,,,,,,,,,,,,,,,,,,full_vs_context_extra_trees_matched,full_context_extra_trees,context_extra_trees,delta_spearman=first-comparator; delta_rmse=comparator-first; positive favors first,0.2270259055727357,0.2127105942750721,0.0532592909647835,0.3396554496544627,10000.0,0.0415905437759676,0.0392997967150629,-0.0243080022700794,0.0995300146273053,10000.0,0.1724458521663635,0.1724430730508543,0.0496975153219148,0.2816033329993478,10000.0,0.0261397712231924,0.0255794059572938,-0.0192848433718235,0.0704528463828592,10000.0
