analysis_identity,regime,protocol,similarity_bin,heldout_group,model_id,n_rows,n_unique_smiles,n_scaffolds,spearman,rmse,mae,spearman_non_estimable_reason,rmse_non_estimable_reason,mae_non_estimable_reason
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.6_to_lt_0.8,MGDB,full_context_extra_trees,31,28,19,0.6680097020979211,1.1947741069954,1.0183664137317288,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.6_to_lt_0.8,MGTbind,full_context_extra_trees,68,34,17,-0.12416965719602,0.9935122125870792,0.816734888974358,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.6_to_lt_0.8,MolGlueDB,full_context_extra_trees,89,84,50,0.1768727190071687,1.1287349103545474,0.9315053586209758,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.6_to_lt_0.8,TPDdb,full_context_extra_trees,51,51,22,0.4501960233174704,0.9725748684325362,0.7262210004469928,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.8_to_1.000001,MGDB,chemistry_extra_trees,27,22,17,-0.0653705603777271,0.983632941804167,0.7803016945167824,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.8_to_1.000001,MGTbind,chemistry_extra_trees,36,23,22,0.1073113983309012,0.9834708172488168,0.782195938958062,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.8_to_1.000001,MolGlueDB,chemistry_extra_trees,42,35,28,0.5085178892371366,0.7126456693744512,0.5407679421561105,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.8_to_1.000001,TPDdb,chemistry_extra_trees,18,18,13,0.7378740970072238,0.5222674735894551,0.3936612870958116,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.8_to_1.000001,MGDB,full_context_extra_trees,27,22,17,-0.0609625732489964,0.9573793440640382,0.7598665908530906,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.8_to_1.000001,MGTbind,full_context_extra_trees,36,23,22,0.0926998841251448,0.9728293125762228,0.7785003980000814,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.8_to_1.000001,MolGlueDB,full_context_extra_trees,42,35,28,0.6886250206718045,0.6037864528520229,0.4852021194639659,,,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.8_to_1.000001,TPDdb,full_context_extra_trees,18,18,13,0.6842105263157895,0.6175672821757902,0.470669772889879,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.0_to_lt_0.4,CCNK+CDK12,chemistry_extra_trees,86,73,52,0.3039800307735974,0.8000070370031315,0.6575308677762054,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.0_to_lt_0.4,CDK2,chemistry_extra_trees,57,57,43,0.1011197719518052,0.4203984500004321,0.3512123258490311,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.0_to_lt_0.4,CSNK1A1,chemistry_extra_trees,2,2,2,,1.6950982589191694,1.6776401996612549,fewer_than_3_rows,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.0_to_lt_0.4,GSPT1,chemistry_extra_trees,19,15,14,0.1613268303680606,0.9882561634554666,0.654292483078806,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.0_to_lt_0.4,IKZF2,chemistry_extra_trees,4,2,1,-1.0,1.4435135942027204,1.3859202861785889,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.0_to_lt_0.4,VAV1,chemistry_extra_trees,444,395,224,0.1787712189504653,1.0233323388265572,0.7999354676083401,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.0_to_lt_0.4,WIZ,chemistry_extra_trees,128,115,44,0.2242418087067869,0.5318134114194571,0.4233029782772064,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.0_to_lt_0.4,CCNK+CDK12,full_context_extra_trees,86,73,52,0.3348982500583158,0.8188423824829099,0.6783897045046784,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.0_to_lt_0.4,CDK2,full_context_extra_trees,57,57,43,-0.0711403523827604,0.4357724921339107,0.3596808617575127,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.0_to_lt_0.4,CSNK1A1,full_context_extra_trees,2,2,2,,1.7081296763533549,1.6903994083404543,fewer_than_3_rows,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.0_to_lt_0.4,GSPT1,full_context_extra_trees,19,15,14,0.1272973140550098,0.9843877502077824,0.6340138786717465,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.0_to_lt_0.4,IKZF2,full_context_extra_trees,4,2,1,-0.8944271909999159,1.5449268953056456,1.492879152297974,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.0_to_lt_0.4,VAV1,full_context_extra_trees,444,395,224,0.1933375853174468,1.025931851965729,0.7909019798845858,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.0_to_lt_0.4,WIZ,full_context_extra_trees,128,115,44,0.0568679154037807,0.4912431271048775,0.3872342742979526,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.4_to_lt_0.6,CDK2,chemistry_extra_trees,85,85,65,-0.1000982025525067,0.5858441440706189,0.4422560243045582,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.4_to_lt_0.6,CSNK1A1,chemistry_extra_trees,102,92,52,0.0997764433921103,1.1195601862774187,0.9715660413106284,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.4_to_lt_0.6,GSPT1,chemistry_extra_trees,110,71,51,0.3012074301687156,1.181441035450138,1.0040467348965731,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.4_to_lt_0.6,IKZF1,chemistry_extra_trees,12,12,9,0.1225921319592106,0.965988104965258,0.8123209079106649,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.4_to_lt_0.6,IKZF2,chemistry_extra_trees,49,43,25,-0.1161757963700305,1.0394566022246297,0.8746623019782864,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.4_to_lt_0.6,VAV1,chemistry_extra_trees,11,9,8,-0.0642201834862385,0.8541606743179538,0.7044797810641202,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.4_to_lt_0.6,WIZ,chemistry_extra_trees,22,8,3,0.753867624118021,0.736199923066674,0.6689032858068292,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.4_to_lt_0.6,CDK2,full_context_extra_trees,85,85,65,-0.2747912585105032,0.6112114117887922,0.4664348153507007,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.4_to_lt_0.6,CSNK1A1,full_context_extra_trees,102,92,52,0.0836471032802745,1.1368175202260655,0.9898967415678734,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.4_to_lt_0.6,GSPT1,full_context_extra_trees,110,71,51,-0.1886214778456077,1.2445972322620844,1.0616230747916482,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.4_to_lt_0.6,IKZF1,full_context_extra_trees,12,12,9,0.1576184553761279,0.909373495849507,0.751119057337443,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.4_to_lt_0.6,IKZF2,full_context_extra_trees,49,43,25,-0.0894661673057041,1.0583334289636888,0.9014887615126006,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.4_to_lt_0.6,VAV1,full_context_extra_trees,11,9,8,0.1643852753918003,0.8341453769819728,0.6643597862937234,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.4_to_lt_0.6,WIZ,full_context_extra_trees,22,8,3,0.5346040399275577,0.6050924812307347,0.5340283133766869,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.6_to_lt_0.8,CDK2,chemistry_extra_trees,3,3,3,-1.0,0.5426033857850547,0.4983878135681152,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.6_to_lt_0.8,CSNK1A1,chemistry_extra_trees,47,37,16,0.4143159009774704,0.8816352211218546,0.7749184649041359,,,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.6_to_lt_0.8,GSPT1,chemistry_extra_trees,19,14,8,-0.0291005404152809,1.2037314785868047,1.0374616070797569,,,
