source_database,n_rows,n_unique_compounds,n_scaffolds,n_sources,n_targets,n_recruiting_proteins,n_cell_lines,n_assay_methods,pDC50_median,pDC50_q25,pDC50_q75,pDC50_min,pDC50_max,target_uniprot_coverage,recruiting_uniprot_coverage
MGDB,357,340,205,1,24,7,18,6,7.481486060122112,7.046240308266771,7.853871964321762,2.3766845364369704,9.193820026016112,1.0,1.0
MGDB+MGTbind,1,1,1,1,1,1,1,1,9.570247719997592,9.570247719997592,9.570247719997592,9.570247719997592,9.570247719997592,1.0,1.0
MGDB+MolGlueDB,7,7,7,1,4,2,2,2,6.552841968657781,6.037860356969059,7.045757490560675,5.82174267918781,8.1249387366083,1.0,1.0
MGTbind,755,664,394,1,27,7,29,1,7.38795825535473,6.5414547764307835,7.9757208375507584,4.721246399047171,10.0,1.0,1.0
MGTbind+MolGlueDB,32,32,16,1,3,1,1,1,8.301551775428738,7.492403104432473,8.698970004336019,6.494850021680094,9.397940008672036,1.0,1.0
MolGlueDB,289,247,144,1,30,7,18,1,7.552841968657781,6.5934598195660445,8.086186147616283,4.721246399047171,10.744727494896694,0.0,0.9826989619377162
TPDdb,119,118,58,1,9,4,10,1,7.401100112936117,6.804179648253806,8.102407705158788,4.860190783983404,9.570247719997592,1.0,0.0
