protocol,model_id,spearman,rmse,r2,spearman_ci_low,spearman_ci_high,rmse_ci_low,rmse_ci_high
scaffold,chemistry_extra_trees,0.5660722533638645,0.8319358549666609,0.3025873081725855,0.4751443397625373,0.6472039999003765,0.7589640787906633,0.9028353909033392
scaffold,full_context_extra_trees,0.6209543134146006,0.7917010512308035,0.3684138384900687,0.541467185153708,0.6893778538989788,0.721200804840558,0.859053942819152
compound,chemistry_extra_trees,0.6772132083808362,0.7437508528419546,0.442602372303819,0.6094229661194949,0.7327144818964298,0.6926234887370324,0.7948211196707199
compound,full_context_extra_trees,0.7233170652552571,0.702603367895835,0.5025715542887635,0.6641324754106975,0.7698536972233461,0.6501105127412274,0.7555941535173609
