analysis_identity,regime,protocol,similarity_bin,similarity_bin_left,similarity_bin_right_exclusive,model_id,n_rows,n_unique_smiles,n_scaffolds,n_heldout_groups,n_domains_expected,n_domains_total,spearman,rmse,mae,spearman_non_estimable_reason,rmse_non_estimable_reason,mae_non_estimable_reason,domain_macro_spearman,domain_macro_spearman_finite_domains,domain_macro_rmse,domain_macro_rmse_finite_domains,domain_macro_mae,domain_macro_mae_finite_domains,domain_macro_non_estimable_reason
post_hoc_extension_float32_v4,internal_scaffold_disjoint,scaffold,0.0_to_lt_0.4,0.0,0.4,chemistry_extra_trees,39,22,22,1,1,1,0.723268688211368,1.145143142977329,0.8356075885968332,,,,,0,,0,,0,not_applicable_internal_pooled
post_hoc_extension_float32_v4,internal_scaffold_disjoint,scaffold,0.0_to_lt_0.4,0.0,0.4,full_context_extra_trees,39,22,22,1,1,1,0.7840834554842298,1.1341211826361468,0.8193696376604911,,,,,0,,0,,0,not_applicable_internal_pooled
post_hoc_extension_float32_v4,internal_scaffold_disjoint,scaffold,0.4_to_lt_0.6,0.4,0.6,chemistry_extra_trees,168,90,55,1,1,1,0.277561610809363,1.1818350538309712,0.9590411680085318,,,,,0,,0,,0,not_applicable_internal_pooled
post_hoc_extension_float32_v4,internal_scaffold_disjoint,scaffold,0.4_to_lt_0.6,0.4,0.6,full_context_extra_trees,168,90,55,1,1,1,0.3983549238193331,1.1257296750980046,0.9075683849198476,,,,,0,,0,,0,not_applicable_internal_pooled
post_hoc_extension_float32_v4,internal_scaffold_disjoint,scaffold,0.6_to_lt_0.8,0.6,0.8,chemistry_extra_trees,874,630,371,1,1,1,0.6252645482214747,0.8100684189214823,0.6127411310951006,,,,,0,,0,,0,not_applicable_internal_pooled
post_hoc_extension_float32_v4,internal_scaffold_disjoint,scaffold,0.6_to_lt_0.8,0.6,0.8,full_context_extra_trees,874,630,371,1,1,1,0.6688926140582168,0.7682062922643834,0.5778893304907757,,,,,0,,0,,0,not_applicable_internal_pooled
post_hoc_extension_float32_v4,internal_scaffold_disjoint,scaffold,0.8_to_1.000001,0.8,1.000001,chemistry_extra_trees,479,395,282,1,1,1,0.5688922043409831,0.6782954371580114,0.4691474082325595,,,,,0,,0,,0,not_applicable_internal_pooled
post_hoc_extension_float32_v4,internal_scaffold_disjoint,scaffold,0.8_to_1.000001,0.8,1.000001,full_context_extra_trees,479,395,282,1,1,1,0.627157474819027,0.6444660878116718,0.4502920053199339,,,,,0,,0,,0,not_applicable_internal_pooled
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.0_to_lt_0.4,0.0,0.4,chemistry_extra_trees,798,727,429,4,4,4,0.1135805484538748,1.0091886198092654,0.8129625060504541,,,,0.3346176570228575,4,1.0536706835403007,4,0.8275057940073571,4,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.0_to_lt_0.4,0.0,0.4,full_context_extra_trees,798,727,429,4,4,4,0.1658665832749873,0.9650704020925834,0.7738345532787773,,,,0.3970081662118597,4,1.0707857228080329,4,0.8456602962435507,4,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.4_to_lt_0.6,0.4,0.6,chemistry_extra_trees,360,263,170,4,4,4,0.1107266752505099,1.0337310164858118,0.8190338479148017,,,,0.0887059031571182,4,1.0315863073276954,4,0.8348297076234211,4,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.4_to_lt_0.6,0.4,0.6,full_context_extra_trees,360,263,170,4,4,4,-0.0399359615340104,1.049431592472392,0.8317689233356051,,,,-0.0289591957329777,4,1.0644481012639797,4,0.876383897145704,4,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.6_to_lt_0.8,0.6,0.8,chemistry_extra_trees,239,183,95,4,4,4,0.1219661822106934,1.0537891320363193,0.8610731049062816,,,,0.3453204525086171,4,1.0508593829424064,4,0.8603323672752652,4,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.6_to_lt_0.8,0.6,0.8,full_context_extra_trees,239,183,95,4,4,4,0.0804048979009117,1.0687719093433932,0.8663120469288846,,,,0.292727196806635,4,1.072399024592391,4,0.8732069154435139,4,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.8_to_1.000001,0.8,1.000001,chemistry_extra_trees,123,86,62,4,4,4,0.2977897132908048,0.8419063131253463,0.642482571485566,,,,0.3220832060493837,4,0.8005042255042225,4,0.6242317156816917,4,
post_hoc_extension_float32_v4,frozen_ood,source_ood,0.8_to_1.000001,0.8,1.000001,full_context_extra_trees,123,86,62,4,4,4,0.3282676447959514,0.8114739457519751,0.6292110342320388,,,,0.3511432144659355,4,0.7878905979170184,4,0.6235597203017542,4,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.0_to_lt_0.4,0.0,0.4,chemistry_extra_trees,740,659,380,7,8,7,0.2708605320490183,0.8996360721937746,0.6854748713003622,,,,-0.0050933898748807,6,0.9860598934038478,7,0.8499763726327761,7,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.0_to_lt_0.4,0.0,0.4,full_context_extra_trees,740,659,380,7,8,7,0.2907228137985983,0.9008227325769124,0.6769842824420413,,,,-0.0421944130913538,6,1.0013191679363158,7,0.8619284656792721,7,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.4_to_lt_0.6,0.4,0.6,chemistry_extra_trees,391,313,207,7,8,7,0.0587069631265576,1.004656292247353,0.8240616181317497,,,,0.1424213496041831,7,0.9260929529103844,7,0.7826050110388085,7,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.4_to_lt_0.6,0.4,0.6,full_context_extra_trees,391,313,207,7,8,7,-0.0796040207393136,1.0295910141802884,0.8430637435230148,,,,0.0553394243305636,7,0.9142244210432636,7,0.7669929357472395,7,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.6_to_lt_0.8,0.6,0.8,chemistry_extra_trees,118,70,38,5,8,5,0.2325472672178547,0.9305235966848278,0.7626136399931827,,,,-0.0366506998677838,5,0.8160709583442861,5,0.6979991338481031,5,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.6_to_lt_0.8,0.6,0.8,full_context_extra_trees,118,70,38,5,8,5,0.1348680248786434,0.9555111302740352,0.7938653008412506,,,,-0.0839382965070277,5,0.8559855340051399,5,0.727996574225618,5,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.8_to_1.000001,0.8,1.000001,chemistry_extra_trees,41,33,18,4,8,4,0.1795050547072925,0.9267199220794848,0.7448819090680379,,,,0.344385350994541,4,0.902702945106717,4,0.7646287522532723,4,
post_hoc_extension_float32_v4,frozen_ood,target_ood,0.8_to_1.000001,0.8,1.000001,full_context_extra_trees,41,33,18,4,8,4,0.1350527161744792,0.9119822586384658,0.7215858785117544,,,,0.3452542989758779,4,0.9005205024419644,4,0.7464259764461806,4,
post_hoc_extension_float32_v4,strict_domain_scaffold_ood,source_ood,0.0_to_lt_0.4,0.0,0.4,chemistry_extra_trees,814,740,439,4,4,4,0.0853095458245397,1.0284060468562015,0.832573576406999,,,,0.369286690480306,4,1.0564581905273285,4,0.8395825470701173,4,
